"","year","state","total_pounds_SHARK, TOPE","total_pounds_SHARK, DOGFISH, SPINY","total_pounds_SHARK, BLUE","total_pounds_SHARK, LEOPARD","total_pounds_SHARK, MAKO, SHORTFIN","total_pounds_SHARK, THRESHER","total_pounds_SHARK, PACIFIC ANGEL","total_pounds_SHARK, WHITE","total_pounds_SHARK, THRESHER, BIGEYE","total_pounds_SHARK, DOGFISH, SMOOTH","total_pounds_SHARK, BLACKTIP","total_pounds_SHARK, MAKO, LONGFIN","total_pounds_SHARK, PORBEAGLE","total_pounds_SHARK, DUSKY","total_pounds_SHARK, SANDBAR","total_pounds_SHARK, SAND TIGER","total_pounds_SHARK, TIGER","total_pounds_SHARK, LEMON","total_pounds_SHARK, BULL","total_pounds_SHARK, NURSE","total_pounds_SHARK, SHARPNOSE, ATLANTIC","total_pounds_SHARK, WHITETIP, OCEANIC","total_pounds_SHARK, BIGNOSE","total_pounds_SHARK, SPINNER","total_pounds_SHARK, BLACKNOSE","total_pounds_SHARK, SILKY","total_pounds_SHARK, ANGEL, ATLANTIC","total_pounds_SHARK, BONNETHEAD","total_pounds_SHARK, NIGHT","total_pounds_SHARK, FINETOOTH","total_pounds_SHARK, HAMMERHEAD, SMOOTH","total_pounds_SHARK, BROWN CAT","total_pounds_SHARK, HAMMERHEAD, SCALLOPED","total_pounds_SHARK, HAMMERHEAD, GREAT","total_dollars_SHARK, TOPE","total_dollars_SHARK, DOGFISH, SPINY","total_dollars_SHARK, BLUE","total_dollars_SHARK, LEOPARD","total_dollars_SHARK, MAKO, SHORTFIN","total_dollars_SHARK, THRESHER","total_dollars_SHARK, PACIFIC ANGEL","total_dollars_SHARK, WHITE","total_dollars_SHARK, THRESHER, BIGEYE","total_dollars_SHARK, DOGFISH, SMOOTH","total_dollars_SHARK, BLACKTIP","total_dollars_SHARK, MAKO, LONGFIN","total_dollars_SHARK, PORBEAGLE","total_dollars_SHARK, DUSKY","total_dollars_SHARK, SANDBAR","total_dollars_SHARK, SAND TIGER","total_dollars_SHARK, TIGER","total_dollars_SHARK, LEMON","total_dollars_SHARK, BULL","total_dollars_SHARK, NURSE","total_dollars_SHARK, SHARPNOSE, ATLANTIC","total_dollars_SHARK, WHITETIP, OCEANIC","total_dollars_SHARK, BIGNOSE","total_dollars_SHARK, SPINNER","total_dollars_SHARK, BLACKNOSE","total_dollars_SHARK, SILKY","total_dollars_SHARK, ANGEL, ATLANTIC","total_dollars_SHARK, BONNETHEAD","total_dollars_SHARK, NIGHT","total_dollars_SHARK, FINETOOTH","total_dollars_SHARK, HAMMERHEAD, SMOOTH","total_dollars_SHARK, BROWN CAT","total_dollars_SHARK, HAMMERHEAD, SCALLOPED","total_dollars_SHARK, HAMMERHEAD, GREAT"
"598",2013,"CALIFORNIA",3108,2112,NA,2505,67442,156836,24164,NA,1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3012,906,NA,2306,60974,124046,14697,NA,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599",2013,"CONNECTICUT",NA,21990,NA,NA,NA,NA,NA,NA,NA,16443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5417,NA,NA,NA,NA,NA,NA,NA,14781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600",2013,"FLORIDA-EAST",NA,NA,NA,NA,21666,NA,NA,NA,NA,NA,222236,NA,NA,NA,NA,NA,16702,11333,31291,NA,163955,NA,NA,28426,39680,NA,NA,31678,NA,15501,NA,NA,36938,NA,NA,NA,NA,NA,32991,NA,NA,NA,NA,NA,141270,NA,NA,NA,NA,NA,9277,6106,16398,NA,69981,NA,NA,15431,24018,NA,NA,18146,NA,10408,NA,NA,18867,NA
"601",2013,"FLORIDA-WEST",NA,NA,NA,NA,14495,NA,NA,NA,NA,NA,19923,NA,NA,NA,52256,NA,17941,16705,29310,NA,NA,NA,NA,5356,3014,455,NA,53,NA,NA,NA,NA,NA,31096,NA,NA,NA,NA,19446,NA,NA,NA,NA,NA,9402,NA,NA,NA,22917,NA,9311,7183,13667,NA,NA,NA,NA,2991,15776,2224,NA,12860,NA,NA,NA,NA,NA,7157
"602",2013,"HAWAII",NA,NA,NA,NA,97615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603",2013,"LOUISIANA",NA,NA,NA,NA,7189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604",2013,"MAINE",NA,106610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605",2013,"MARYLAND",NA,1210620,NA,NA,5810,2807,NA,NA,NA,135525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216987,NA,NA,9270,1404,NA,NA,NA,80371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",2013,"MASSACHUSETTS",NA,6216751,NA,NA,35742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,977949,NA,NA,45310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607",2013,"NEW HAMPSHIRE",NA,515448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",2013,"NEW JERSEY",NA,1751575,NA,NA,38906,10491,NA,NA,NA,831318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297606,NA,NA,50643,7993,NA,NA,NA,430242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609",2013,"NEW YORK",NA,79761,NA,NA,8652,NA,NA,NA,NA,218236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23155,NA,NA,11981,NA,NA,NA,NA,117250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610",2013,"NORTH CAROLINA",NA,3010958,18092,NA,130536,72244,NA,NA,NA,783053,106516,NA,NA,NA,NA,NA,5042,NA,9164,NA,122546,NA,NA,12410,7054,NA,NA,NA,NA,9570,NA,NA,NA,6758,NA,301096,1900,NA,125355,33030,NA,NA,NA,345602,40063,NA,NA,NA,NA,NA,1462,NA,3116,NA,36401,NA,NA,5233,2672,NA,NA,NA,NA,3578,NA,NA,NA,2032
"611",2013,"OREGON",NA,65957,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2816,NA,NA,NA,602,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"612",2013,"PROCESS AT SEA",NA,37345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613",2013,"RHODE ISLAND",NA,1000503,NA,NA,NA,NA,NA,NA,NA,40050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161301,NA,NA,NA,NA,NA,NA,NA,14562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",2013,"SOUTH CAROLINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20831,NA,NA,NA,NA,NA,NA,1662,3440,NA,8646,NA,NA,NA,NA,NA,NA,NA,NA,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27071,NA,NA,NA,NA,NA,NA,1505,3612,NA,10987,NA,NA,NA,NA,NA,NA,NA,NA,497,NA,NA,NA,NA
"615",2013,"VIRGINIA",NA,2159196,NA,NA,10298,1269,NA,NA,NA,66939,26929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354649,NA,NA,16830,684,NA,NA,NA,41229,14801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",2013,"WASHINGTON",NA,284967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",2014,"ALABAMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5077,NA,NA,NA,NA,NA,NA,NA,17151,NA,89257,NA,NA,3781,NA,NA,NA,8292,NA,63952,NA,NA,907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3655,NA,NA,NA,NA,NA,NA,NA,8576,NA,27670,NA,NA,2155,NA,NA,NA,8126,NA,63952,NA,NA,454,NA
"618",2014,"CALIFORNIA",4504,95873,NA,5891,54397,87976,17822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3689,32814,NA,6928,48763,69366,12958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619",2014,"CONNECTICUT",NA,22046,NA,NA,NA,NA,NA,NA,NA,8751,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5108,NA,NA,NA,NA,NA,NA,NA,5321,NA,1701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",2014,"FLORIDA-EAST",NA,NA,NA,NA,12756,NA,NA,NA,NA,NA,168142,NA,NA,NA,44866,NA,15551,10879,23587,NA,99464,NA,NA,3016,35735,55,NA,12381,NA,NA,NA,NA,17763,6112,NA,NA,NA,NA,25002,NA,NA,NA,NA,NA,137876,NA,NA,NA,28714,NA,11041,8703,16039,NA,69625,NA,NA,1870,27873,45,NA,8667,NA,NA,NA,NA,11368,795
"621",2014,"FLORIDA-WEST",NA,NA,NA,NA,3088,NA,NA,NA,NA,NA,13846,NA,NA,NA,39851,NA,13761,4730,14065,NA,417,NA,NA,6663,1735,NA,NA,NA,NA,71,NA,NA,4432,15698,NA,NA,NA,NA,4879,NA,NA,NA,NA,NA,9831,NA,NA,NA,23114,NA,10871,3075,9283,NA,375,NA,NA,5397,1475,NA,NA,NA,NA,89,NA,NA,3413,12558
"622",2014,"GEORGIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623",2014,"HAWAII",NA,NA,NA,NA,90966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624",2014,"LOUISIANA",NA,NA,NA,NA,4027,NA,NA,NA,NA,NA,425956,NA,NA,NA,NA,NA,606,NA,228966,NA,NA,NA,NA,51163,NA,NA,NA,NA,NA,NA,NA,NA,NA,14227,NA,NA,NA,NA,4067,NA,NA,NA,NA,NA,200199,NA,NA,NA,NA,NA,242,NA,112193,NA,NA,NA,NA,25070,NA,NA,NA,NA,NA,NA,NA,NA,NA,5264
"625",2014,"MAINE",NA,214763,NA,NA,837,NA,NA,NA,NA,NA,NA,NA,2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35200,NA,NA,896,NA,NA,NA,NA,NA,NA,NA,1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626",2014,"MARYLAND",NA,1062355,NA,NA,8282,7851,NA,NA,NA,176869,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165084,NA,NA,20539,5182,NA,NA,NA,84165,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",2014,"MASSACHUSETTS",NA,9439058,NA,NA,26246,NA,NA,NA,NA,NA,NA,NA,4327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2027689,NA,NA,51967,NA,NA,NA,NA,NA,NA,NA,2466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628",2014,"NEW JERSEY",NA,2202747,NA,NA,16276,15239,NA,NA,NA,735745,2389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6002,NA,NA,NA,1160,NA,351633,NA,NA,31413,15696,NA,NA,NA,355781,1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4922,NA,NA,NA,1230
"629",2014,"NEW YORK",NA,59645,NA,NA,6877,855,NA,NA,NA,205732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16498,NA,NA,14029,1214,NA,NA,NA,113037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630",2014,"NORTH CAROLINA",NA,5650285,16542,NA,104222,88049,NA,NA,NA,498904,91211,NA,NA,NA,35612,NA,11033,479,6199,NA,87745,NA,NA,20871,1839,NA,NA,662,NA,4380,389,NA,6518,6116,NA,567403,1654,NA,208444,57232,NA,NA,NA,212998,58375,NA,NA,NA,27065,NA,5186,254,2542,NA,53524,NA,NA,12731,938,NA,NA,318,NA,2278,175,NA,2803,2446
"631",2014,"OREGON",497,83154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3083,NA,NA,0,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"632",2014,"PROCESS AT SEA",NA,51169,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633",2014,"RHODE ISLAND",NA,689445,NA,NA,3212,NA,NA,NA,NA,15519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112971,NA,NA,7709,NA,NA,NA,NA,5387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634",2014,"SOUTH CAROLINA",NA,NA,NA,NA,9158,NA,NA,NA,NA,NA,19568,NA,NA,NA,NA,NA,2377,1689,2056,NA,10998,NA,NA,NA,833,NA,NA,NA,NA,2436,NA,NA,NA,NA,NA,NA,NA,NA,17309,NA,NA,NA,NA,NA,24851,NA,NA,NA,NA,NA,5111,2990,3084,NA,19576,NA,NA,NA,1100,NA,NA,NA,NA,3825,NA,NA,NA,NA
"635",2014,"VIRGINIA",NA,2694821,NA,NA,4502,3942,NA,NA,NA,194100,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432037,NA,NA,10715,2641,NA,NA,NA,137463,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636",2014,"WASHINGTON",280,323457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,114401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637",2015,"CALIFORNIA",6355,9520,NA,9316,44379,126524,30245,NA,2492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6247,2934,NA,10745,41288,93576,22742,NA,2178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638",2015,"CONNECTICUT",NA,34400,NA,NA,NA,NA,NA,NA,NA,28872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4053,NA,NA,NA,NA,NA,NA,NA,15412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639",2015,"DELAWARE",NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640",2015,"FLORIDA-EAST",NA,NA,NA,NA,13001,NA,NA,NA,NA,NA,204806,NA,NA,NA,NA,NA,24076,20758,37228,NA,127917,NA,NA,4893,60374,NA,NA,6710,NA,8454,NA,NA,NA,28345,NA,NA,NA,NA,18383,NA,NA,NA,NA,NA,123502,NA,NA,NA,NA,NA,11641,8910,17825,NA,103871,NA,NA,2878,43890,NA,NA,4404,NA,6716,NA,NA,NA,5411
"641",2015,"FLORIDA-WEST",NA,NA,NA,NA,5295,NA,NA,NA,NA,NA,19042,NA,NA,NA,NA,NA,NA,14162,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,7165,NA,NA,NA,NA,NA,7099,NA,NA,NA,NA,NA,11883,NA,NA,NA,NA,NA,NA,7002,NA,NA,NA,NA,NA,NA,NA,NA,NA,9052,NA,NA,NA,NA,3815,NA
"642",2015,"HAWAII",NA,NA,NA,NA,93870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643",2015,"MAINE",NA,20454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644",2015,"MARYLAND",NA,1152384,NA,NA,10634,NA,NA,NA,NA,95598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182815,NA,NA,8945,NA,NA,NA,NA,35730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645",2015,"MASSACHUSETTS",NA,7855050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646",2015,"NEW JERSEY",NA,1910055,NA,NA,16684,23573,NA,NA,NA,665358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295041,NA,NA,20838,17382,NA,NA,NA,298399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647",2015,"NEW YORK",NA,29836,NA,NA,8963,NA,NA,NA,NA,247784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12310,NA,NA,15263,NA,NA,NA,NA,129265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648",2015,"NORTH CAROLINA",NA,4247213,NA,NA,73954,48993,NA,NA,NA,178878,51905,NA,NA,NA,33122,NA,7561,221,2255,NA,271298,NA,NA,35352,2740,NA,NA,1461,NA,1981,31,NA,7081,20122,NA,552548,NA,NA,116127,29485,NA,NA,NA,83416,27507,NA,NA,NA,19511,NA,2609,146,1043,NA,140719,NA,NA,15582,1014,NA,NA,451,NA,683,9,NA,1558,4085
"649",2015,"OREGON",136,170291,1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16980,NA,NA,0,247,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"650",2015,"PROCESS AT SEA",NA,18709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"651",2015,"RHODE ISLAND",NA,534357,NA,NA,NA,NA,NA,NA,NA,13127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77351,NA,NA,NA,NA,NA,NA,NA,4119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652",2015,"SOUTH CAROLINA",NA,NA,NA,NA,6822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",2015,"VIRGINIA",NA,3411300,NA,NA,3158,NA,NA,NA,NA,77889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541596,NA,NA,4053,NA,NA,NA,NA,28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654",2015,"WASHINGTON",NA,683939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
