"","year","state","nmfs_name","total_pounds","total_dollars","region"
"799",1994,"NORTH CAROLINA","SHARK, TIGER",18456,4155,"South Atlantic"
"800",1994,"OREGON","SHARK, BLUE",137,86,"Pacific Coast"
"801",1994,"OREGON","SHARK, DOGFISH, SPINY",87899,11993,"Pacific Coast"
"802",1994,"OREGON","SHARK, TOPE",2451,1726,"Pacific Coast"
"803",1994,"RHODE ISLAND","SHARK, BLUE",369,74,"New England"
"804",1994,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",4848,725,"New England"
"805",1994,"RHODE ISLAND","SHARK, DOGFISH, SPINY",336571,42261,"New England"
"806",1994,"RHODE ISLAND","SHARK, MAKO, SHORTFIN",1134,1118,"New England"
"807",1994,"RHODE ISLAND","SHARK, PORBEAGLE",1543,915,"New England"
"808",1994,"RHODE ISLAND","SHARK, THRESHER",389,179,"New England"
"809",1994,"RHODE ISLAND","SHARK, TIGER",2033,350,"New England"
"810",1994,"SOUTH CAROLINA","SHARK, MAKO, SHORTFIN",5547,6422,"South Atlantic"
"811",1994,"TEXAS","SHARK, BLACKTIP",75279,30617,"Gulf"
"812",1994,"TEXAS","SHARK, MAKO, SHORTFIN",4611,4221,"Gulf"
"813",1994,"VIRGINIA","SHARK, BLACKTIP",6376,3630,"Middle Atlantic"
"814",1994,"VIRGINIA","SHARK, DOGFISH, SMOOTH",300921,71822,"Middle Atlantic"
"815",1994,"VIRGINIA","SHARK, DOGFISH, SPINY",308821,30530,"Middle Atlantic"
"816",1994,"VIRGINIA","SHARK, DUSKY",9216,2784,"Middle Atlantic"
"817",1994,"VIRGINIA","SHARK, MAKO, LONGFIN",184,225,"Middle Atlantic"
"818",1994,"VIRGINIA","SHARK, MAKO, SHORTFIN",13227,17030,"Middle Atlantic"
"819",1994,"VIRGINIA","SHARK, SAND TIGER",8727,6023,"Middle Atlantic"
"820",1994,"VIRGINIA","SHARK, SANDBAR",6154,2338,"Middle Atlantic"
"821",1994,"VIRGINIA","SHARK, THRESHER",10676,3827,"Middle Atlantic"
"822",1994,"VIRGINIA","SHARK, TIGER",394,110,"Middle Atlantic"
"823",1994,"WASHINGTON","SHARK, DOGFISH, SPINY",4997422,699703,"Pacific Coast"
"824",1994,"WASHINGTON","SHARK, TOPE",633,302,"Pacific Coast"
"825",1995,"ALASKA","SHARK, DOGFISH, SPINY",27317,7699,"Alaska"
"826",1995,"CALIFORNIA","SHARK, BLUE",10846,2603,"Pacific Coast"
"827",1995,"CALIFORNIA","SHARK, DOGFISH, SPINY",2109,1411,"Pacific Coast"
"828",1995,"CALIFORNIA","SHARK, LEOPARD",21732,16445,"Pacific Coast"
"829",1995,"CALIFORNIA","SHARK, MAKO, SHORTFIN",210231,165220,"Pacific Coast"
"830",1995,"CALIFORNIA","SHARK, PACIFIC ANGEL",39376,12606,"Pacific Coast"
"831",1995,"CALIFORNIA","SHARK, THRESHER",592648,469501,"Pacific Coast"
"832",1995,"CALIFORNIA","SHARK, THRESHER, BIGEYE",68037,24897,"Pacific Coast"
"833",1995,"CALIFORNIA","SHARK, TOPE",93944,55025,"Pacific Coast"
"834",1995,"CONNECTICUT","SHARK, DOGFISH, SMOOTH",743,46,"New England"
"835",1995,"CONNECTICUT","SHARK, DOGFISH, SPINY",281825,16910,"New England"
"836",1995,"DELAWARE","SHARK, DOGFISH, SPINY",62900,12580,"Middle Atlantic"
"837",1995,"FLORIDA-EAST","SHARK, BLACKNOSE",13483,5367,"South Atlantic"
"838",1995,"FLORIDA-EAST","SHARK, BLACKTIP",197370,80811,"South Atlantic"
"839",1995,"FLORIDA-EAST","SHARK, BONNETHEAD",162447,49823,"South Atlantic"
"840",1995,"FLORIDA-EAST","SHARK, BULL",6627,3069,"South Atlantic"
"841",1995,"FLORIDA-EAST","SHARK, DUSKY",17974,6310,"South Atlantic"
"842",1995,"FLORIDA-EAST","SHARK, LEMON",1209,432,"South Atlantic"
"843",1995,"FLORIDA-EAST","SHARK, MAKO, SHORTFIN",12037,12882,"South Atlantic"
"844",1995,"FLORIDA-EAST","SHARK, SANDBAR",364906,144989,"South Atlantic"
"845",1995,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",6697,2441,"South Atlantic"
"846",1995,"FLORIDA-EAST","SHARK, SILKY",19912,7942,"South Atlantic"
"847",1995,"FLORIDA-EAST","SHARK, THRESHER",3195,1423,"South Atlantic"
"848",1995,"FLORIDA-EAST","SHARK, TIGER",8535,3306,"South Atlantic"
"849",1995,"FLORIDA-WEST","SHARK, BLACKNOSE",31923,10386,"South Atlantic"
"850",1995,"FLORIDA-WEST","SHARK, BLACKTIP",45920,16960,"South Atlantic"
"851",1995,"FLORIDA-WEST","SHARK, BONNETHEAD",48254,11654,"South Atlantic"
"852",1995,"FLORIDA-WEST","SHARK, BULL",7758,2321,"South Atlantic"
"853",1995,"FLORIDA-WEST","SHARK, DUSKY",32350,10779,"South Atlantic"
"854",1995,"FLORIDA-WEST","SHARK, LEMON",12044,3007,"South Atlantic"
"855",1995,"FLORIDA-WEST","SHARK, MAKO, SHORTFIN",21639,22735,"South Atlantic"
"856",1995,"FLORIDA-WEST","SHARK, SANDBAR",1430388,471372,"South Atlantic"
"857",1995,"FLORIDA-WEST","SHARK, THRESHER",5135,2639,"South Atlantic"
"858",1995,"FLORIDA-WEST","SHARK, TIGER",614,176,"South Atlantic"
"859",1995,"LOUISIANA","SHARK, MAKO, SHORTFIN",57397,53392,"Gulf"
"860",1995,"LOUISIANA","SHARK, THRESHER",2446,741,"Gulf"
"861",1995,"MAINE","SHARK, DOGFISH, SPINY",1451876,298641,"New England"
"862",1995,"MARYLAND","SHARK, BLACKTIP",55119,30366,"Middle Atlantic"
"863",1995,"MARYLAND","SHARK, DOGFISH, SMOOTH",79764,37819,"Middle Atlantic"
"864",1995,"MARYLAND","SHARK, DOGFISH, SPINY",3107452,870515,"Middle Atlantic"
"865",1995,"MARYLAND","SHARK, DUSKY",6579,4119,"Middle Atlantic"
"866",1995,"MARYLAND","SHARK, MAKO, SHORTFIN",703,983,"Middle Atlantic"
"867",1995,"MARYLAND","SHARK, PORBEAGLE",231,83,"Middle Atlantic"
"868",1995,"MARYLAND","SHARK, SAND TIGER",156,28,"Middle Atlantic"
"869",1995,"MARYLAND","SHARK, SANDBAR",28373,11713,"Middle Atlantic"
"870",1995,"MARYLAND","SHARK, SILKY",2156,489,"Middle Atlantic"
"871",1995,"MARYLAND","SHARK, THRESHER",2947,1396,"Middle Atlantic"
"872",1995,"MARYLAND","SHARK, TIGER",25,7,"Middle Atlantic"
"873",1995,"MASSACHUSETTS","SHARK, BLUE",246,221,"New England"
"874",1995,"MASSACHUSETTS","SHARK, DOGFISH, SMOOTH",45,99,"New England"
"875",1995,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",27790819,5278555,"New England"
"876",1995,"MASSACHUSETTS","SHARK, MAKO, SHORTFIN",119377,94604,"New England"
"877",1995,"MASSACHUSETTS","SHARK, NIGHT",229,115,"New England"
"878",1995,"MASSACHUSETTS","SHARK, PORBEAGLE",5738,3335,"New England"
"879",1995,"MASSACHUSETTS","SHARK, THRESHER",791,289,"New England"
"880",1995,"NEW HAMPSHIRE","SHARK, DOGFISH, SPINY",2106255,397812,"New England"
"881",1995,"NEW JERSEY","SHARK, BLACKTIP",1860,914,"Middle Atlantic"
"882",1995,"NEW JERSEY","SHARK, BLUE",376,56,"Middle Atlantic"
"883",1995,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",139237,53744,"Middle Atlantic"
"884",1995,"NEW JERSEY","SHARK, DOGFISH, SPINY",674173,135700,"Middle Atlantic"
"885",1995,"NEW JERSEY","SHARK, DUSKY",25269,11023,"Middle Atlantic"
"886",1995,"NEW JERSEY","SHARK, MAKO, LONGFIN",2134,763,"Middle Atlantic"
"887",1995,"NEW JERSEY","SHARK, MAKO, SHORTFIN",3461,4010,"Middle Atlantic"
"888",1995,"NEW JERSEY","SHARK, NIGHT",41,41,"Middle Atlantic"
"889",1995,"NEW JERSEY","SHARK, PORBEAGLE",731,559,"Middle Atlantic"
"890",1995,"NEW JERSEY","SHARK, SAND TIGER",18309,5329,"Middle Atlantic"
"891",1995,"NEW JERSEY","SHARK, SANDBAR",61313,20307,"Middle Atlantic"
"892",1995,"NEW JERSEY","SHARK, THRESHER",37410,24963,"Middle Atlantic"
"893",1995,"NEW JERSEY","SHARK, TIGER",72,24,"Middle Atlantic"
"894",1995,"NEW JERSEY","SHARK, WHITE",991,543,"Middle Atlantic"
"895",1995,"NEW YORK","SHARK, BLACKTIP",15,8,"Great Lakes"
"896",1995,"NEW YORK","SHARK, DOGFISH, SMOOTH",130,27,"Great Lakes"
"897",1995,"NEW YORK","SHARK, DUSKY",1505,912,"Great Lakes"
"898",1995,"NEW YORK","SHARK, MAKO, LONGFIN",925,579,"Great Lakes"
"899",1995,"NEW YORK","SHARK, MAKO, SHORTFIN",14480,16327,"Great Lakes"
"900",1995,"NEW YORK","SHARK, NURSE",19,18,"Great Lakes"
"901",1995,"NEW YORK","SHARK, PORBEAGLE",1239,1414,"Great Lakes"
"902",1995,"NEW YORK","SHARK, SAND TIGER",154,170,"Great Lakes"
"903",1995,"NEW YORK","SHARK, SANDBAR",2319,861,"Great Lakes"
"904",1995,"NEW YORK","SHARK, THRESHER",3136,1824,"Great Lakes"
"905",1995,"NEW YORK","SHARK, TIGER",86,31,"Great Lakes"
"906",1995,"NORTH CAROLINA","SHARK, ANGEL, ATLANTIC",2268,457,"South Atlantic"
"907",1995,"NORTH CAROLINA","SHARK, BLACKTIP",150248,34604,"South Atlantic"
"908",1995,"NORTH CAROLINA","SHARK, DOGFISH, SMOOTH",2182799,405123,"South Atlantic"
"909",1995,"NORTH CAROLINA","SHARK, DOGFISH, SPINY",7174803,1147967,"South Atlantic"
"910",1995,"NORTH CAROLINA","SHARK, DUSKY",86749,17583,"South Atlantic"
"911",1995,"NORTH CAROLINA","SHARK, LEMON",715,144,"South Atlantic"
"912",1995,"NORTH CAROLINA","SHARK, MAKO, SHORTFIN",99224,85059,"South Atlantic"
"913",1995,"NORTH CAROLINA","SHARK, SAND TIGER",1598,319,"South Atlantic"
"914",1995,"NORTH CAROLINA","SHARK, SANDBAR",818774,196743,"South Atlantic"
"915",1995,"NORTH CAROLINA","SHARK, THRESHER",109565,33073,"South Atlantic"
"916",1995,"NORTH CAROLINA","SHARK, TIGER",9700,2448,"South Atlantic"
"917",1995,"OREGON","SHARK, BLUE",320,180,"Pacific Coast"
"918",1995,"OREGON","SHARK, DOGFISH, SPINY",87887,11449,"Pacific Coast"
"919",1995,"OREGON","SHARK, THRESHER",1579,1572,"Pacific Coast"
"920",1995,"OREGON","SHARK, TOPE",2203,1434,"Pacific Coast"
"921",1995,"RHODE ISLAND","SHARK, DOGFISH, SPINY",109125,18101,"New England"
"922",1995,"RHODE ISLAND","SHARK, MAKO, LONGFIN",418,483,"New England"
"923",1995,"RHODE ISLAND","SHARK, MAKO, SHORTFIN",2304,2260,"New England"
"924",1995,"RHODE ISLAND","SHARK, PORBEAGLE",1975,1079,"New England"
"925",1995,"RHODE ISLAND","SHARK, THRESHER",385,480,"New England"
"926",1995,"SOUTH CAROLINA","SHARK, MAKO, SHORTFIN",1384,1925,"South Atlantic"
"927",1995,"TEXAS","SHARK, BLACKTIP",93252,35258,"Gulf"
"928",1995,"TEXAS","SHARK, MAKO, SHORTFIN",10099,7248,"Gulf"
"929",1995,"VIRGINIA","SHARK, DOGFISH, SMOOTH",293613,54071,"Middle Atlantic"
"930",1995,"VIRGINIA","SHARK, DOGFISH, SPINY",230871,25383,"Middle Atlantic"
"931",1995,"WASHINGTON","SHARK, DOGFISH, SPINY",2717993,370000,"Pacific Coast"
"932",1995,"WASHINGTON","SHARK, THRESHER",10693,15463,"Pacific Coast"
"933",1995,"WASHINGTON","SHARK, TOPE",438,234,"Pacific Coast"
"934",1996,"ALASKA","SHARK, DOGFISH, SPINY",10406,3220,"Alaska"
"935",1996,"CALIFORNIA","SHARK, BLUE",536,130,"Pacific Coast"
"936",1996,"CALIFORNIA","SHARK, DOGFISH, SPINY",1245,276,"Pacific Coast"
"937",1996,"CALIFORNIA","SHARK, LEOPARD",16693,11239,"Pacific Coast"
"938",1996,"CALIFORNIA","SHARK, MAKO, SHORTFIN",211469,166644,"Pacific Coast"
"939",1996,"CALIFORNIA","SHARK, PACIFIC ANGEL",35712,14231,"Pacific Coast"
"940",1996,"CALIFORNIA","SHARK, THRESHER",698256,593278,"Pacific Coast"
"941",1996,"CALIFORNIA","SHARK, THRESHER, BIGEYE",44910,17745,"Pacific Coast"
"942",1996,"CALIFORNIA","SHARK, TOPE",137998,70891,"Pacific Coast"
"943",1996,"FLORIDA-EAST","SHARK, BLACKNOSE",76928,29006,"South Atlantic"
"944",1996,"FLORIDA-EAST","SHARK, BLACKTIP",268123,98530,"South Atlantic"
"945",1996,"FLORIDA-EAST","SHARK, BONNETHEAD",38404,15301,"South Atlantic"
"946",1996,"FLORIDA-EAST","SHARK, BULL",4457,1646,"South Atlantic"
"947",1996,"FLORIDA-EAST","SHARK, DUSKY",44653,17254,"South Atlantic"
"948",1996,"FLORIDA-EAST","SHARK, FINETOOTH",30088,11930,"South Atlantic"
"949",1996,"FLORIDA-EAST","SHARK, LEMON",2868,1322,"South Atlantic"
"950",1996,"FLORIDA-EAST","SHARK, MAKO, SHORTFIN",13099,13657,"South Atlantic"
"951",1996,"FLORIDA-EAST","SHARK, SAND TIGER",1090,463,"South Atlantic"
"952",1996,"FLORIDA-EAST","SHARK, SANDBAR",504351,206685,"South Atlantic"
"953",1996,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",81341,25090,"South Atlantic"
"954",1996,"FLORIDA-EAST","SHARK, SILKY",16053,6279,"South Atlantic"
"955",1996,"FLORIDA-EAST","SHARK, THRESHER",6112,2579,"South Atlantic"
"956",1996,"FLORIDA-EAST","SHARK, TIGER",5675,2029,"South Atlantic"
"957",1996,"FLORIDA-WEST","SHARK, BLACKNOSE",16788,6523,"South Atlantic"
"958",1996,"FLORIDA-WEST","SHARK, BLACKTIP",82679,29450,"South Atlantic"
"959",1996,"FLORIDA-WEST","SHARK, BONNETHEAD",12213,4011,"South Atlantic"
"960",1996,"FLORIDA-WEST","SHARK, BULL",22301,8760,"South Atlantic"
"961",1996,"FLORIDA-WEST","SHARK, DUSKY",51456,18086,"South Atlantic"
"962",1996,"FLORIDA-WEST","SHARK, LEMON",7713,2816,"South Atlantic"
"963",1996,"FLORIDA-WEST","SHARK, MAKO, SHORTFIN",30715,32758,"South Atlantic"
"964",1996,"FLORIDA-WEST","SHARK, SANDBAR",930531,355370,"South Atlantic"
"965",1996,"FLORIDA-WEST","SHARK, SILKY",8117,3070,"South Atlantic"
"966",1996,"FLORIDA-WEST","SHARK, THRESHER",6349,2964,"South Atlantic"
"967",1996,"FLORIDA-WEST","SHARK, TIGER",2157,672,"South Atlantic"
"968",1996,"LOUISIANA","SHARK, MAKO, SHORTFIN",55871,40685,"Gulf"
"969",1996,"MAINE","SHARK, DOGFISH, SPINY",878226,163782,"New England"
"970",1996,"MAINE","SHARK, MAKO, LONGFIN",160,199,"New England"
"971",1996,"MAINE","SHARK, PORBEAGLE",10281,8510,"New England"
"972",1996,"MAINE","SHARK, THRESHER",1234,435,"New England"
"973",1996,"MARYLAND","SHARK, BLACKTIP",8052,4750,"Middle Atlantic"
"974",1996,"MARYLAND","SHARK, DOGFISH, SMOOTH",142628,38235,"Middle Atlantic"
"975",1996,"MARYLAND","SHARK, DOGFISH, SPINY",7140422,1520857,"Middle Atlantic"
"976",1996,"MARYLAND","SHARK, DUSKY",7293,4212,"Middle Atlantic"
"977",1996,"MARYLAND","SHARK, NURSE",1816,619,"Middle Atlantic"
"978",1996,"MARYLAND","SHARK, SANDBAR",25087,10345,"Middle Atlantic"
"979",1996,"MARYLAND","SHARK, THRESHER",933,397,"Middle Atlantic"
"980",1996,"MARYLAND","SHARK, TIGER",313,281,"Middle Atlantic"
"981",1996,"MASSACHUSETTS","SHARK, DOGFISH, SMOOTH",6,2,"New England"
"982",1996,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",26812017,4905557,"New England"
"983",1996,"MASSACHUSETTS","SHARK, MAKO, LONGFIN",2548,2035,"New England"
"984",1996,"MASSACHUSETTS","SHARK, MAKO, SHORTFIN",53886,49440,"New England"
"985",1996,"MASSACHUSETTS","SHARK, PORBEAGLE",3472,2514,"New England"
"986",1996,"MASSACHUSETTS","SHARK, THRESHER",1263,557,"New England"
"987",1996,"NEW HAMPSHIRE","SHARK, DOGFISH, SPINY",1079523,189537,"New England"
"988",1996,"NEW JERSEY","SHARK, BLACKTIP",2370,971,"Middle Atlantic"
"989",1996,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",70883,26354,"Middle Atlantic"
"990",1996,"NEW JERSEY","SHARK, DOGFISH, SPINY",825414,159905,"Middle Atlantic"
"991",1996,"NEW JERSEY","SHARK, DUSKY",12367,6674,"Middle Atlantic"
"992",1996,"NEW JERSEY","SHARK, MAKO, LONGFIN",1184,382,"Middle Atlantic"
"993",1996,"NEW JERSEY","SHARK, MAKO, SHORTFIN",1379,1540,"Middle Atlantic"
"994",1996,"NEW JERSEY","SHARK, PORBEAGLE",1038,478,"Middle Atlantic"
"995",1996,"NEW JERSEY","SHARK, SAND TIGER",6058,675,"Middle Atlantic"
"996",1996,"NEW JERSEY","SHARK, SANDBAR",34078,9731,"Middle Atlantic"
"997",1996,"NEW JERSEY","SHARK, THRESHER",15894,15417,"Middle Atlantic"
"998",1996,"NEW JERSEY","SHARK, TIGER",178,45,"Middle Atlantic"
"999",1996,"NEW JERSEY","SHARK, WHITE",28,18,"Middle Atlantic"
"1000",1996,"NEW JERSEY","SHARK, WHITETIP, OCEANIC",26,2,"Middle Atlantic"
"1001",1996,"NEW YORK","SHARK, BLACKTIP",1583,570,"Great Lakes"
"1002",1996,"NEW YORK","SHARK, DOGFISH, SMOOTH",5612,1960,"Great Lakes"
"1003",1996,"NEW YORK","SHARK, DOGFISH, SPINY",73980,14774,"Great Lakes"
"1004",1996,"NEW YORK","SHARK, DUSKY",465,149,"Great Lakes"
"1005",1996,"NEW YORK","SHARK, MAKO, LONGFIN",356,391,"Great Lakes"
"1006",1996,"NEW YORK","SHARK, MAKO, SHORTFIN",16777,20496,"Great Lakes"
"1007",1996,"NEW YORK","SHARK, NURSE",6,3,"Great Lakes"
"1008",1996,"NEW YORK","SHARK, PORBEAGLE",695,396,"Great Lakes"
"1009",1996,"NEW YORK","SHARK, SAND TIGER",6,3,"Great Lakes"
"1010",1996,"NEW YORK","SHARK, SANDBAR",15132,4873,"Great Lakes"
"1011",1996,"NEW YORK","SHARK, THRESHER",521,491,"Great Lakes"
"1012",1996,"NORTH CAROLINA","SHARK, ANGEL, ATLANTIC",180,44,"South Atlantic"
"1013",1996,"NORTH CAROLINA","SHARK, BLACKTIP",115514,33508,"South Atlantic"
"1014",1996,"NORTH CAROLINA","SHARK, DOGFISH, SMOOTH",463024,83168,"South Atlantic"
"1015",1996,"NORTH CAROLINA","SHARK, DOGFISH, SPINY",13210735,2145745,"South Atlantic"
"1016",1996,"NORTH CAROLINA","SHARK, DUSKY",37258,9091,"South Atlantic"
"1017",1996,"NORTH CAROLINA","SHARK, MAKO, LONGFIN",4644,3669,"South Atlantic"
"1018",1996,"NORTH CAROLINA","SHARK, MAKO, SHORTFIN",119365,93970,"South Atlantic"
"1019",1996,"NORTH CAROLINA","SHARK, SAND TIGER",7630,1910,"South Atlantic"
"1020",1996,"NORTH CAROLINA","SHARK, SANDBAR",551108,170165,"South Atlantic"
"1021",1996,"NORTH CAROLINA","SHARK, SHARPNOSE, ATLANTIC",8306,2078,"South Atlantic"
"1022",1996,"NORTH CAROLINA","SHARK, THRESHER",91051,26515,"South Atlantic"
"1023",1996,"NORTH CAROLINA","SHARK, TIGER",12408,2481,"South Atlantic"
"1024",1996,"OREGON","SHARK, BLUE",1020,417,"Pacific Coast"
"1025",1996,"OREGON","SHARK, DOGFISH, SPINY",16841,2287,"Pacific Coast"
"1026",1996,"OREGON","SHARK, TOPE",5388,4627,"Pacific Coast"
"1027",1996,"RHODE ISLAND","SHARK, BLUE",60,4,"New England"
"1028",1996,"RHODE ISLAND","SHARK, BULL",1783,321,"New England"
"1029",1996,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",3128,370,"New England"
"1030",1996,"RHODE ISLAND","SHARK, DOGFISH, SPINY",857581,163308,"New England"
"1031",1996,"RHODE ISLAND","SHARK, DUSKY",152,109,"New England"
"1032",1996,"RHODE ISLAND","SHARK, MAKO, LONGFIN",296,247,"New England"
"1033",1996,"RHODE ISLAND","SHARK, MAKO, SHORTFIN",2194,2425,"New England"
"1034",1996,"RHODE ISLAND","SHARK, PORBEAGLE",2194,1352,"New England"
"1035",1996,"RHODE ISLAND","SHARK, SAND TIGER",742,18,"New England"
"1036",1996,"RHODE ISLAND","SHARK, THRESHER",101,55,"New England"
"1037",1996,"SOUTH CAROLINA","SHARK, MAKO, SHORTFIN",6186,8127,"South Atlantic"
"1038",1996,"TEXAS","SHARK, BLACKTIP",40939,9575,"Gulf"
"1039",1996,"TEXAS","SHARK, MAKO, SHORTFIN",2358,1765,"Gulf"
"1040",1996,"WASHINGTON","SHARK, DOGFISH, SPINY",2291621,302990,"Pacific Coast"
"1041",1996,"WASHINGTON","SHARK, TOPE",260,117,"Pacific Coast"
"1042",1997,"CALIFORNIA","SHARK, BLUE",307,67,"Pacific Coast"
"1043",1997,"CALIFORNIA","SHARK, DOGFISH, SPINY",8354,2070,"Pacific Coast"
"1044",1997,"CALIFORNIA","SHARK, LEOPARD",24870,18072,"Pacific Coast"
"1045",1997,"CALIFORNIA","SHARK, MAKO, SHORTFIN",290628,225704,"Pacific Coast"
"1046",1997,"CALIFORNIA","SHARK, PACIFIC ANGEL",67364,29444,"Pacific Coast"
"1047",1997,"CALIFORNIA","SHARK, THRESHER",776245,642902,"Pacific Coast"
"1048",1997,"CALIFORNIA","SHARK, THRESHER, BIGEYE",69582,34769,"Pacific Coast"
"1049",1997,"CALIFORNIA","SHARK, TOPE",133413,79679,"Pacific Coast"
"1050",1997,"FLORIDA-EAST","SHARK, BLACKNOSE",101988,44390,"South Atlantic"
"1051",1997,"FLORIDA-EAST","SHARK, BLACKTIP",144694,60935,"South Atlantic"
"1052",1997,"FLORIDA-EAST","SHARK, BONNETHEAD",81767,25619,"South Atlantic"
"1053",1997,"FLORIDA-EAST","SHARK, DUSKY",20122,8156,"South Atlantic"
"1054",1997,"FLORIDA-EAST","SHARK, FINETOOTH",202198,58678,"South Atlantic"
"1055",1997,"FLORIDA-EAST","SHARK, LEMON",1848,778,"South Atlantic"
"1056",1997,"FLORIDA-EAST","SHARK, MAKO, SHORTFIN",13831,15117,"South Atlantic"
"1057",1997,"FLORIDA-EAST","SHARK, SANDBAR",242103,103416,"South Atlantic"
"1058",1997,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",290428,73977,"South Atlantic"
"1059",1997,"FLORIDA-EAST","SHARK, SILKY",9388,3629,"South Atlantic"
"1060",1997,"FLORIDA-EAST","SHARK, SPINNER",8275,4141,"South Atlantic"
"1061",1997,"FLORIDA-EAST","SHARK, TIGER",2297,930,"South Atlantic"
"1062",1997,"FLORIDA-WEST","SHARK, BLACKNOSE",18685,8060,"South Atlantic"
"1063",1997,"FLORIDA-WEST","SHARK, BLACKTIP",78250,34032,"South Atlantic"
"1064",1997,"FLORIDA-WEST","SHARK, BONNETHEAD",93,39,"South Atlantic"
"1065",1997,"FLORIDA-WEST","SHARK, BULL",8186,3396,"South Atlantic"
"1066",1997,"FLORIDA-WEST","SHARK, DUSKY",15739,6836,"South Atlantic"
"1067",1997,"FLORIDA-WEST","SHARK, LEMON",6064,2608,"South Atlantic"
"1068",1997,"FLORIDA-WEST","SHARK, MAKO, SHORTFIN",18984,20359,"South Atlantic"
"1069",1997,"FLORIDA-WEST","SHARK, SAND TIGER",219,123,"South Atlantic"
"1070",1997,"FLORIDA-WEST","SHARK, SANDBAR",577917,253704,"South Atlantic"
"1071",1997,"FLORIDA-WEST","SHARK, SHARPNOSE, ATLANTIC",685,263,"South Atlantic"
"1072",1997,"FLORIDA-WEST","SHARK, THRESHER",8752,4687,"South Atlantic"
"1073",1997,"FLORIDA-WEST","SHARK, TIGER",681,286,"South Atlantic"
"1074",1997,"LOUISIANA","SHARK, BLACKTIP",106508,34713,"Gulf"
"1075",1997,"LOUISIANA","SHARK, MAKO, SHORTFIN",23754,19411,"Gulf"
"1076",1997,"MAINE","SHARK, DOGFISH, SPINY",448660,67723,"New England"
"1077",1997,"MARYLAND","SHARK, BLACKTIP",533,222,"Middle Atlantic"
"1078",1997,"MARYLAND","SHARK, DOGFISH, SMOOTH",74530,13858,"Middle Atlantic"
"1079",1997,"MARYLAND","SHARK, DOGFISH, SPINY",4227433,781479,"Middle Atlantic"
"1080",1997,"MARYLAND","SHARK, DUSKY",1423,409,"Middle Atlantic"
"1081",1997,"MARYLAND","SHARK, THRESHER",302,166,"Middle Atlantic"
"1082",1997,"MASSACHUSETTS","SHARK, BIGNOSE",13,9,"New England"
"1083",1997,"MASSACHUSETTS","SHARK, DOGFISH, SMOOTH",11245,2637,"New England"
"1084",1997,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",21663592,3091863,"New England"
"1085",1997,"MASSACHUSETTS","SHARK, MAKO, SHORTFIN",51041,45473,"New England"
"1086",1997,"MASSACHUSETTS","SHARK, NIGHT",55,33,"New England"
"1087",1997,"MASSACHUSETTS","SHARK, PORBEAGLE",3053,2139,"New England"
"1088",1997,"MASSACHUSETTS","SHARK, THRESHER",421,216,"New England"
"1089",1997,"MASSACHUSETTS","SHARK, THRESHER, BIGEYE",158,200,"New England"
"1090",1997,"MASSACHUSETTS","SHARK, TIGER",14,95,"New England"
"1091",1997,"NEW HAMPSHIRE","SHARK, DOGFISH, SPINY",1008785,145663,"New England"
"1092",1997,"NEW JERSEY","SHARK, BLACKTIP",386,126,"Middle Atlantic"
"1093",1997,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",212643,90646,"Middle Atlantic"
"1094",1997,"NEW JERSEY","SHARK, DOGFISH, SPINY",3312319,574213,"Middle Atlantic"
"1095",1997,"NEW JERSEY","SHARK, DUSKY",2897,666,"Middle Atlantic"
"1096",1997,"NEW JERSEY","SHARK, MAKO, LONGFIN",1509,291,"Middle Atlantic"
"1097",1997,"NEW JERSEY","SHARK, MAKO, SHORTFIN",598,829,"Middle Atlantic"
"1098",1997,"NEW JERSEY","SHARK, PORBEAGLE",891,414,"Middle Atlantic"
"1099",1997,"NEW JERSEY","SHARK, SANDBAR",4829,2943,"Middle Atlantic"
"1100",1997,"NEW JERSEY","SHARK, THRESHER",23452,14407,"Middle Atlantic"
"1101",1997,"NEW JERSEY","SHARK, TIGER",924,121,"Middle Atlantic"
"1102",1997,"NEW YORK","SHARK, BLUE",167,90,"Great Lakes"
"1103",1997,"NEW YORK","SHARK, DOGFISH, SMOOTH",3014,611,"Great Lakes"
"1104",1997,"NEW YORK","SHARK, DOGFISH, SPINY",5504,1202,"Great Lakes"
"1105",1997,"NEW YORK","SHARK, DUSKY",1230,354,"Great Lakes"
"1106",1997,"NEW YORK","SHARK, MAKO, LONGFIN",5280,6860,"Great Lakes"
"1107",1997,"NEW YORK","SHARK, MAKO, SHORTFIN",22343,24867,"Great Lakes"
"1108",1997,"NEW YORK","SHARK, PORBEAGLE",477,249,"Great Lakes"
"1109",1997,"NEW YORK","SHARK, SANDBAR",13994,8500,"Great Lakes"
"1110",1997,"NEW YORK","SHARK, THRESHER",496,216,"Great Lakes"
